Belgium	79479.0	582.0	9969.0	10.0	18078.0	51432.0	83.0	6854.0	860.0	2049976.0	176773.0	1.1596664E7	35.54%	27.0	2.0	34.0	6.0	NULL	NULL	Belgium	79479.00	582	9969.00	10	18078.00	51432.00	83	6854.00	860	2049976.00	176773.00	11596664	35.54%	27	2	34	6
Belize	605.0	52.0	5.0	1.0	38.0	562.0	3.0	1518.0	13.0	5592.0	14030.0	398588.0	11.63%	140.0	130.0	102.0	17.0	NULL	NULL	Belize	605	52	5	1	38	562	3	1518.00	13	5592.00	14030.00	398588	11.63%	140	130	102	17
Benin	2095.0	NULL	39.0	NULL	1705.0	351.0	NULL	172.0	3.0	107057.0	8801.0	1.2164164E7	2.24%	155.0	169.0	183.0	132.0	NULL	NULL	Benin	2095.00		39		1705.00	351		172	3	107057.00	8801.00	12164164	2.24%	155	169	183	132
Bermuda	166.0	NULL	9.0	NULL	147.0	10.0	NULL	2667.0	145.0	36203.0	581621.0	62245.0	5.77%	9.0	39.0	85.0	48.0	NULL	NULL	Bermuda	166		9		147	10		2667.00	145	36203.00	581621.00	62245	5.77%	9	39	85	48
Bhutan	150.0	3.0	NULL	NULL	105.0	45.0	NULL	194.0	NULL	66835.0	86488.0	772767.0		57.0	NULL	182.0	NULL	NULL	NULL	Bhutan	150	3			105	45		194		66835.00	86488.00	772767		57		182	
Bolivia	105050.0	2031.0	4233.0	61.0	39965.0	60852.0	71.0	8983.0	362.0	222251.0	19005.0	1.169455E7	9.58%	130.0	16.0	23.0	25.0	NULL	NULL	Bolivia	105050.00	2031.00	4233.00	61	39965.00	60852.00	71	8983.00	362	222251.00	19005.00	11694550	9.58%	130	16	23	25
Bosnia and Herzegovina	17029.0	338.0	515.0	8.0	10881.0	5633.0	NULL	5195.0	157.0	168861.0	51515.0	3277873.0	4.52%	87.0	37.0	51.0	68.0	NULL	NULL	Bosnia and Herzegovina	17029.00	338	515	8	10881.00	5633.00		5195.00	157	168861.00	51515.00	3277873	4.52%	87	37	51	68
Botswana	1308.0	NULL	3.0	NULL	136.0	1169.0	1.0	555.0	1.0	93420.0	39620.0	2357895.0	2.16%	103.0	177.0	144.0	136.0	NULL	NULL	Botswana	1308.00		3		136	1169.00	1	555	1	93420.00	39620.00	2357895	2.16%	103	177	144	136
Brazil	3505097.0	44684.0	112423.0	1234.0	2653407.0	739267.0	8318.0	16474.0	528.0	1.3748152E7	64616.0	2.127684E8	4.06%	71.0	11.0	10.0	82.0	NULL	NULL	Brazil	3505097.00	44684.00	112423.00	1234.00	2653407.00	739267.00	8318.00	16474.00	528	13748152.00	64616.00	212768400	4.06%	71	11	10	82
British Virgin Islands	11.0	NULL	1.0	NULL	8.0	2.0	NULL	364.0	33.0	1890.0	62461.0	30259.0	11.11%	78.0	94.0	158.0	21.0	NULL	NULL	British Virgin Islands	11		1		8	2		364	33	1890.00	62461.00	30259	11.11%	78	94	158	21
Brunei	143.0	NULL	3.0	NULL	139.0	1.0	NULL	326.0	7.0	49399.0	112769.0	438054.0	2.11%	46.0	146.0	161.0	139.0	NULL	NULL	Brunei	143		3		139	1		326	7	49399.00	112769.00	438054	2.11%	46	146	161	139
Bulgaria	14962.0	142.0	532.0	5.0	10087.0	4343.0	63.0	2156.0	77.0	358723.0	51683.0	6940865.0	5.01%	86.0	61.0	89.0	59.0	NULL	NULL	Bulgaria	14962.00	142	532	5	10087.00	4343.00	63	2156.00	77	358723.00	51683.00	6940865	5.01%	86	61	89	59
Burkina Faso	1297.0	12.0	55.0	NULL	1034.0	208.0	NULL	62.0	3.0	NULL	NULL	2.0976858E7	5.05%	NULL	169.0	197.0	58.0	NULL	NULL	Burkina Faso	1297.00	12	55		1034.00	208		62	3			20976858	5.05%		169	197	58
Burundi	422.0	NULL	1.0	NULL	336.0	85.0	NULL	35.0	0.08	19993.0	1675.0	1.1935821E7	0.30%	186.0	190.0	205.0	190.0	NULL	NULL	Burundi	422		1		336	85		35	0.08	19993.00	1675.00	11935821	0.30%	186	190	205	190
CAR	4679.0	NULL	61.0	NULL	1755.0	2863.0	2.0	967.0	13.0	30775.0	6357.0	4840968.0	3.36%	166.0	130.0	121.0	91.0	NULL	NULL	CAR	4679.00		61		1755.00	2863.00	2	967	13	30775.00	6357.00	4840968	3.36%	166	130	121	91
Cabo Verde	3368.0	47.0	37.0	1.0	2462.0	869.0	NULL	6049.0	66.0	73900.0	132720.0	556812.0	1.48%	36.0	67.0	42.0	157.0	NULL	NULL	Cabo Verde	3368.00	47	37	1	2462.00	869		6049.00	66	73900.00	132720.00	556812	1.48%	36	67	42	157
Cambodia	273.0	NULL	NULL	NULL	253.0	20.0	1.0	16.0	NULL	83626.0	4993.0	1.6750228E7		172.0	NULL	210.0	NULL	NULL	NULL	Cambodia	273				253	20	1	16		83626.00	4993.00	16750228		172		210	
Cameroon	18762.0	138.0	408.0	2.0	16540.0	1814.0	30.0	705.0	15.0	149000.0	5595.0	2.6631541E7	2.41%	170.0	125.0	133.0	128.0	NULL	NULL	Cameroon	18762.00	138	408	2	16540.00	1814.00	30	705	15	149000.00	5595.00	26631541	2.41%	170	125	133	128
