country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,tot_cases,deaths,total_tests,tests,cases_per_test,death_in_closed_cases,rank_by_testing_rate,rank_by_death_rate,rank_by_cases_rate,rank_by_death_of_closed_cases,top_death,top_test,country_name
Myanmar,399,5,6,NULL,333,60,NULL,7,0.1,141044,2590,54460318,1.77%,179,189,213,147,50,157,Myanmar
Namibia,4912,247,41,2,2442,2429,18,1929,16,45744,17960,2547027,1.65%,131,122,92,150,81,65,Namibia
Nepal,29645,707,126,6,17964,11555,NULL,1015,4,878622,30083,29206558,0.70%,116,162,118,179,169,9,Nepal
Netherlands,65054,529,6191,10,0,0,51,3795,361,1312787,76591,17140202,100.00%,63,17,63,1,45,168,Netherlands
New Caledonia,23,NULL,NULL,NULL,22,1,NULL,80,NULL,11838,41410,285874,,99,NULL,194,NULL,193,179,New Caledonia
New Zealand,1654,5,22,NULL,1531,101,6,331,4,657506,131446,5002100,1.42%,38,162,160,159,126,35,New Zealand
Nicaragua,4311,NULL,133,NULL,2913,1265,NULL,650,20,NULL,NULL,6635277,4.37%,NULL,112,139,74,165,196,Nicaragua
Niger,1169,2,69,NULL,1082,18,NULL,48,3,9052,372,24315155,5.99%,193,169,202,43,30,5,Niger
Nigeria,50964,476,992,7,37569,12403,7,246,5,352625,1705,206802324,2.57%,185,155,173,115,2,81,Nigeria
North Macedonia,13194,118,554,3,9752,2888,4,6333,266,132493,63596,2083362,5.38%,75,24,40,56,56,167,North Macedonia
Norway,10197,35,264,2,9150,783,1,1879,49,588550,108447,5427090,2.80%,49,82,93,112,114,48,Norway
Oman,83769,163,609,6,78386,4774,151,16350,119,309212,60353,5123430,0.77%,79,46,11,174,47,91,Oman
Pakistan,290958,513,6209,8,272804,11945,725,1314,28,2363752,10673,221460187,2.23%,148,100,109,134,41,109,Pakistan
Palestine,17989,383,120,1,10682,7187,NULL,3516,23,214862,41991,5116888,1.11%,98,107,71,167,173,117,Palestine
Panama,83855,101,1844,17,59174,22837,154,19393,426,287300,66445,4323882,3.02%,69,14,6,101,139,100,Panama
Papua New Guinea,361,14,4,1,198,159,NULL,40,0.4,14439,1610,8969502,1.98%,187,184,203,141,85,155,Papua New Guinea
Paraguay,11817,684,170,5,6783,4864,63,1654,24,166110,23250,7144441,2.44%,125,104,97,126,146,145,Paraguay
Peru,567059,8639,27034,200,380730,159295,1519,17166,818,2852011,86336,33033892,6.63%,58,3,9,38,111,101,Peru
